Airport;Terminal;Date;Hour;U.S. Citizen;;Non U.S. Citizen;;All;;;;;;;;;;;;
;;;;;;;;Wait Times;;Number Of Passengers Time Interval;;;;;;;;;;
;;;;Average Wait;Max Wait;Average Wait;Max Wait;Average Wait;Max Wait;0-15;16-30;31-45;46-60;61-90;91-120;120 plus;Excluded;Total;Flights;Booths
;;;;Time;Time;Time;Time;Time;Time;;;;;;;;;;;
LAX;Tom Bradley International Terminal;9/24/2019;1300 - 1400;13;58;28;66;22;66;791;354;182;212;46;0;0;51;1636;6;26
LAX;Tom Bradley International Terminal;9/24/2019;1400 - 1500;13;68;22;71;17;71;358;52;39;71;9;0;0;15;544;2;20
LAX;Tom Bradley International Terminal;9/24/2019;1500 - 1600;10;59;27;64;20;64;796;284;153;203;20;0;0;46;1502;5;29
LAX;Tom Bradley International Terminal;9/24/2019;1600 - 1700;11;49;16;42;13;49;1501;805;43;3;0;0;0;68;2420;9;30
LAX;Tom Bradley International Terminal;9/24/2019;1700 - 1800;10;55;14;63;11;63;558;222;22;6;4;0;0;23;835;5;26
LAX;Tom Bradley International Terminal;9/24/2019;1800 - 1900;6;25;12;42;9;42;1015;175;24;0;0;0;0;33;1247;5;28
LAX;Tom Bradley International Terminal;9/24/2019;1900 - 2000;13;63;24;63;18;63;709;320;125;95;7;0;0;54;1310;6;24
LAX;Tom Bradley International Terminal;9/24/2019;2000 - 2100;12;109;31;133;26;133;539;331;95;71;69;44;14;36;1199;5;25
LAX;Tom Bradley International Terminal;9/24/2019;2100 - 2200;9;41;31;113;19;113;605;98;34;10;66;28;0;26;867;5;17
LAX;Tom Bradley International Terminal;9/24/2019;2200 - 2300;10;32;28;74;17;74;221;69;6;2;36;0;0;11;345;2;20
LAX;Tom Bradley International Terminal;9/24/2019;2300 - 0000;10;25;12;25;11;25;300;86;0;0;0;0;0;11;397;3;14
LAX;Satellite 2;9/25/2019;0000 - 0100;2;7;9;23;8;23;98;25;0;0;0;0;0;16;139;2;5
LAX;Satellite 2;9/25/2019;1000 - 1100;4;10;8;13;7;13;98;0;0;0;0;0;0;4;102;2;4
LAX;Satellite 2;9/25/2019;1100 - 1200;7;16;9;18;8;18;178;11;0;0;0;0;0;6;195;2;7
LAX;Satellite 2;9/25/2019;1300 - 1400;8;21;11;23;10;23;168;72;0;0;0;0;0;14;254;1;8
LAX;Satellite 2;9/25/2019;1500 - 1600;7;20;9;20;8;20;193;16;0;0;0;0;0;5;214;2;3
LAX;Satellite 2;9/25/2019;1700 - 1800;9;21;10;20;9;21;147;13;0;0;0;0;0;6;166;2;3
LAX;Satellite 2;9/25/2019;1800 - 1900;7;18;8;20;8;20;278;15;0;0;0;0;0;10;303;2;4
LAX;Satellite 2;9/25/2019;1900 - 2000;10;25;17;35;14;35;147;72;18;0;0;0;0;6;243;1;5
LAX;Satellite 7;9/25/2019;0000 - 0100;0;61;12;64;3;64;497;22;0;7;8;0;0;19;553;5;7
LAX;Satellite 7;9/25/2019;1000 - 1100;7;38;15;41;10;41;142;14;21;0;0;0;0;5;182;1;5
